sim 	ve 	vg 	re 	rg 	x 	vx 	vd 	vi 	ce1 	cd1 	ce2 	cd2 	cb2 	bmvar 
45	1.000	1.800	0.990	0.250	15.000	100.000	0.099	0.122	-33.622	37.193	-0.282	0.450	-0.015	27.756
46	1.000	1.800	0.990	0.000	15.000	100.000	0.076	0.111	-32.804	32.476	-0.267	0.264	-0.016	27.652
47	1.000	2.000	0.990	0.250	15.000	100.000	0.139	0.139	-34.957	38.181	-0.327	0.483	-0.015	27.847
48	1.000	2.000	0.990	0.000	15.000	100.000	0.107	0.126	-34.064	33.724	-0.311	0.308	-0.015	27.701
49	1.000	1.200	0.990	0.250	25.000	100.000	0.006	0.037	-27.540	32.692	-0.077	0.297	-0.019	27.554
50	1.000	1.200	0.990	0.000	25.000	100.000	0.005	0.034	-27.264	26.991	-0.072	0.071	-0.019	27.546
51	1.000	0.800	0.990	0.250	25.000	100.000	0.000	0.000	-21.889	28.511	-0.000	0.241	-0.015	27.268
52	1.000	0.800	0.990	0.000	25.000	100.000	0.000	0.000	-21.889	21.671	-0.000	0.000	-0.015	27.267
53	1.000	1.000	0.990	0.250	25.000	100.000	0.000	0.000	-24.626	30.536	-0.000	0.240	-0.019	27.509
54	1.000	1.000	0.990	0.000	25.000	100.000	0.000	0.000	-24.626	24.379	-0.000	0.000	-0.019	27.508
55	1.000	1.100	0.990	0.250	25.000	100.000	0.001	0.013	-26.042	31.584	-0.027	0.260	-0.020	27.534
56	1.000	1.100	0.990	0.000	25.000	100.000	0.001	0.012	-25.943	25.683	-0.025	0.024	-0.020	27.532
57	1.000	1.400	0.990	0.250	25.000	100.000	0.030	0.074	-30.030	34.535	-0.161	0.360	-0.017	27.605
58	1.000	1.400	0.990	0.000	25.000	100.000	0.023	0.067	-29.495	29.200	-0.150	0.149	-0.018	27.575
59	1.000	1.600	0.990	0.250	25.000	100.000	0.062	0.101	-32.011	36.001	-0.227	0.409	-0.016	27.674
60	1.000	1.600	0.990	0.000	25.000	100.000	0.048	0.092	-31.305	30.992	-0.214	0.212	-0.017	27.610
61	1.000	1.800	0.990	0.250	25.000	100.000	0.099	0.122	-33.622	37.193	-0.282	0.450	-0.015	27.756
62	1.000	1.800	0.990	0.000	25.000	100.000	0.076	0.111	-32.804	32.476	-0.267	0.264	-0.016	27.652
63	1.000	2.000	0.990	0.250	25.000	100.000	0.139	0.139	-34.957	38.181	-0.327	0.483	-0.015	27.847
64	1.000	2.000	0.990	0.000	25.000	100.000	0.107	0.126	-34.064	33.724	-0.311	0.308	-0.015	27.701
